date,twse_close,tsmc_close,nasdaq_close,nvidia_close,sox_close
2023-02-10,15586.650390625,545.0,11718.1201171875,21.26499938964844,3011.14990234375
2023-02-13,15544.2802734375,541.0,11891.7900390625,21.788000106811523,3057.320068359375
2023-02-14,15654.48046875,545.0,11960.150390625,22.97100067138672,3121.6298828125
2023-02-15,15432.8896484375,525.0,12070.58984375,22.763999938964844,3133.070068359375
2023-02-16,15550.5,528.0,11855.830078125,22.00200080871582,3055.239990234375
2023-02-17,15479.7001953125,518.0,11787.26953125,21.38800048828125,3005.8701171875
2023-02-20,15551.23046875,517.0,,,
2023-02-21,15563.0,516.0,11492.2998046875,20.655000686645508,2906.260009765625
2023-02-22,15418.76953125,507.0,11507.0703125,20.753999710083008,2892.389892578125
2023-02-23,15615.41015625,518.0,11590.400390625,23.663999557495117,2988.81005859375
2023-02-24,15503.7900390625,511.0,11394.9404296875,23.285999298095703,2935.110107421875
2023-02-27,,,11466.98046875,23.500999450683594,2951.2099609375
2023-02-28,,,11455.5400390625,23.215999603271484,2958.389892578125
2023-03-01,15598.490234375,522.0,11379.48046875,22.697999954223633,2955.830078125
2023-03-02,15598.7197265625,519.0,11462.98046875,23.31399917602539,2984.110107421875
2023-03-03,15608.419921875,516.0,11689.009765625,23.88999938964844,3028.340087890625
2023-03-06,15763.509765625,521.0,11675.740234375,23.554000854492188,2994.590087890625
2023-03-07,15857.8896484375,524.0,11530.330078125,23.288000106811523,2962.419921875
2023-03-08,15818.2001953125,521.0,11576.0,24.180999755859375,3041.389892578125
2023-03-09,15770.66015625,522.0,11338.349609375,23.43600082397461,2980.2099609375
2023-03-10,15526.2001953125,513.0,11138.8896484375,22.96500015258789,2923.929931640625
2023-03-13,15560.490234375,516.0,11188.83984375,22.965999603271484,2921.7099609375
2023-03-14,15360.419921875,510.0,11428.150390625,24.062999725341797,3010.14990234375
2023-03-15,15387.58984375,511.0,11434.0498046875,24.22800064086914,2977.389892578125
2023-03-16,15221.1201171875,505.0,11717.2802734375,25.541000366210938,3098.070068359375
2023-03-17,15452.9599609375,518.0,11630.509765625,25.725000381469727,3083.52001953125
2023-03-20,15419.9697265625,512.0,11675.5400390625,25.899999618530273,3114.7099609375
2023-03-21,15513.4501953125,517.0,11860.1103515625,26.198999404907227,3116.889892578125
2023-03-22,15760.4599609375,533.0,11669.9599609375,26.468000411987305,3091.7099609375
2023-03-23,15863.9501953125,538.0,11787.400390625,27.19099998474121,3174.360107421875
2023-03-24,15914.7001953125,539.0,11823.9599609375,26.77899932861328,3121.260009765625
2023-03-27,15830.3095703125,531.0,11768.83984375,26.5310001373291,3083.580078125
2023-03-28,15701.48046875,525.0,11716.080078125,26.40999984741211,3057.27001953125
2023-03-29,15769.759765625,530.0,11926.240234375,26.983999252319336,3157.110107421875
2023-03-30,15849.4296875,535.0,12013.4697265625,27.382999420166016,3208.260009765625
2023-03-31,15868.0595703125,533.0,12221.91015625,27.777000427246097,3230.860107421875
2023-04-03,,,12189.4501953125,27.96500015258789,3200.429931640625
2023-04-04,,,12126.330078125,27.45299911499023,3142.5
2023-04-05,,,11996.8603515625,26.881000518798828,3085.97998046875
2023-04-06,15810.76953125,530.0,12087.9599609375,27.03700065612793,3071.77001953125
2023-04-07,15836.5,531.0,,,
2023-04-10,15876.169921875,529.0,12084.3603515625,27.57900047302246,3126.969970703125
2023-04-11,15913.8798828125,524.0,12031.8798828125,27.16900062561035,3109.419921875
2023-04-12,15932.9697265625,520.0,11929.33984375,26.4950008392334,3052.52001953125
2023-04-13,15804.759765625,510.0,12166.26953125,26.46299934387207,3074.93994140625
2023-04-14,15929.4296875,516.0,12123.4697265625,26.757999420166016,3070.449951171875
2023-04-17,15963.5498046875,520.0,12157.7197265625,27.00200080871582,3066.679931640625
2023-04-18,15869.4404296875,515.0,12153.41015625,27.66699981689453,3077.719970703125
2023-04-19,15770.4697265625,510.0,12157.23046875,27.930999755859375,3046.3798828125
2023-04-20,15707.51953125,513.0,12059.5595703125,27.104000091552734,3046.280029296875
2023-04-21,15602.990234375,511.0,12072.4599609375,27.118999481201172,3021.43994140625
2023-04-24,15626.8701171875,507.0,12037.2001953125,27.04199981689453,3007.510009765625
2023-04-25,15370.73046875,498.0,11799.16015625,26.24099922180176,2906.2900390625
2023-04-26,15374.6298828125,491.5,11854.349609375,26.95599937438965,2922.989990234375
2023-04-27,15411.490234375,493.5,12142.240234375,27.22599983215332,2941.590087890625
2023-04-28,15579.1796875,502.0,12226.580078125,27.749000549316406,2994.969970703125
2023-05-01,,,12212.599609375,28.90999984741211,3019.090087890625
2023-05-02,15636.48046875,501.0,12080.509765625,28.209999084472656,2996.860107421875
2023-05-03,15553.41015625,496.0,12025.330078125,27.802000045776367,2957.3701171875
2023-05-04,15609.0302734375,498.0,11966.400390625,27.562000274658203,2941.6298828125
2023-05-05,15626.0703125,500.0,12235.41015625,28.68000030517578,3007.68994140625
2023-05-08,15699.5703125,504.0,12256.919921875,29.150999069213867,3024.409912109375
2023-05-09,15727.7001953125,510.0,12179.5498046875,28.570999145507812,2967.840087890625
2023-05-10,15641.759765625,503.0,12306.4404296875,28.885000228881836,2997.510009765625
2023-05-11,15514.6396484375,499.0,12328.509765625,28.57799911499023,2978.719970703125
2023-05-12,15502.3603515625,496.0,12284.740234375,28.34000015258789,2972.85009765625
2023-05-15,15475.0498046875,495.5,12365.2099609375,28.95299911499023,3052.639892578125
2023-05-16,15673.900390625,505.0,12343.0498046875,29.21299934387207,3048.7099609375
2023-05-17,15925.2900390625,519.0,12500.5703125,30.17799949645996,3124.679931640625
2023-05-18,16101.8798828125,530.0,12688.83984375,31.67799949645996,3223.489990234375
2023-05-19,16174.919921875,532.0,12657.900390625,31.263999938964844,3203.489990234375
2023-05-22,16180.8896484375,531.0,12720.7802734375,31.176000595092773,3215.0400390625
2023-05-23,16188.0302734375,530.0,12560.25,30.687999725341797,3177.43994140625
2023-05-24,16159.3203125,525.0,12484.16015625,30.538000106811523,3124.090087890625
2023-05-25,16292.0,543.0,12698.08984375,37.97999954223633,3336.719970703125
2023-05-26,16505.05078125,566.0,12975.6904296875,38.94599914550781,3545.669921875
2023-05-29,16636.30078125,568.0,,,
2023-05-30,16622.740234375,566.0,13017.4296875,40.11100006103515,3549.389892578125
2023-05-31,16578.9609375,558.0,12935.2900390625,37.83399963378906,3453.179931640625
2023-06-01,16512.650390625,551.0,13100.98046875,39.77000045776367,3506.739990234375
2023-06-02,16706.91015625,562.0,13240.76953125,39.32699966430664,3501.39990234375
2023-06-05,16714.4296875,555.0,13229.4296875,39.17100143432617,3444.1201171875
2023-06-06,16761.66015625,560.0,13276.419921875,38.65399932861328,3488.340087890625
2023-06-07,16922.48046875,568.0,13104.900390625,37.474998474121094,3477.179931640625
2023-06-08,16733.689453125,559.0,13238.51953125,38.5099983215332,3514.320068359375
2023-06-09,16886.400390625,565.0,13259.1396484375,38.77000045776367,3524.969970703125
2023-06-12,16955.369140625,574.0,13461.919921875,39.48199844360352,3641.659912109375
2023-06-13,17216.599609375,593.0,13573.3203125,41.02199935913086,3683.659912109375
2023-06-14,17238.140625,590.0,13626.48046875,42.99700164794922,3739.75
2023-06-15,17334.98046875,591.0,13782.8203125,42.65299987792969,3708.06005859375
2023-06-16,17288.91015625,589.0,13689.5703125,42.69200134277344,3673.139892578125
2023-06-19,17274.560546875,583.0,,,
2023-06-20,17184.91015625,583.0,13667.2900390625,43.80799865722656,3647.56005859375
2023-06-21,17202.400390625,581.0,13502.2001953125,43.04499816894531,3549.72998046875
2023-06-22,,,13630.6103515625,43.025001525878906,3569.8701171875
2023-06-23,,,13492.51953125,42.20899963378906,3506.7099609375
2023-06-26,17059.240234375,574.0,13335.7802734375,40.63199996948242,3515.77001953125
2023-06-27,16887.900390625,572.0,13555.669921875,41.875999450683594,3642.409912109375
2023-06-28,16935.630859375,574.0,13591.75,41.117000579833984,3609.47998046875
2023-06-29,16942.30078125,573.0,13591.330078125,40.821998596191406,3614.179931640625
2023-06-30,16915.5390625,576.0,13787.919921875,42.301998138427734,3673.06005859375
2023-07-03,17084.19921875,579.0,13816.76953125,42.41299819946289,3703.6201171875
2023-07-04,17140.76953125,585.0,,,
2023-07-05,17056.4296875,582.0,13791.650390625,42.31700134277344,3622.320068359375
2023-07-06,16762.169921875,565.0,13679.0400390625,42.10300064086914,3577.489990234375
2023-07-07,16664.2109375,565.0,13660.7197265625,42.50299835205078,3577.72998046875
2023-07-10,16652.80078125,565.0,13685.48046875,42.18000030517578,3651.60009765625
2023-07-11,16898.91015625,577.0,13760.7001953125,42.404998779296875,3653.530029296875
2023-07-12,16962.029296875,578.0,13918.9599609375,43.902000427246094,3721.469970703125
2023-07-13,17061.400390625,585.0,14138.5703125,45.97700119018555,3797.1298828125
2023-07-14,17283.7109375,591.0,14113.7001953125,45.46900177001953,3750.409912109375
2023-07-17,17334.2890625,591.0,14244.9501953125,46.46099853515625,3837.31005859375
2023-07-18,17227.91015625,581.0,14353.6396484375,47.49399948120117,3842.360107421875
2023-07-19,17116.439453125,581.0,14358.01953125,47.07699966430664,3801.659912109375
