date,TSMC,SOX,TWSE,NASDAQ
2023-12-22,582.0,4132.85009765625,17596.630859375,14992.9697265625
2023-12-25,581.0,,17604.83984375,
2023-12-26,586.0,4207.4501953125,17751.73046875,15074.5703125
2023-12-27,592.0,4214.58984375,17891.5,15099.1796875
2023-12-28,593.0,4208.68017578125,17910.369140625,15095.1396484375
2023-12-29,593.0,4175.47021484375,17930.810546875,15011.349609375
2024-01-02,593.0,4023.0400390625,17853.759765625,14765.9404296875
2024-01-03,578.0,3941.2099609375,17559.310546875,14592.2099609375
2024-01-04,580.0,3908.85009765625,17549.650390625,14510.2998046875
2024-01-05,576.0,3933.489990234375,17519.140625,14524.0703125
2024-01-08,583.0,4062.47998046875,17572.66015625,14843.76953125
2024-01-09,586.0,4064.64990234375,17535.490234375,14857.7099609375
2024-01-10,584.0,4048.840087890625,17465.630859375,14969.650390625
2024-01-11,586.0,4067.89990234375,17545.3203125,14970.1904296875
2024-01-12,584.0,4052.429931640625,17512.830078125,14972.759765625
2024-01-15,586.0,,17546.8203125,
2024-01-16,580.0,4105.93994140625,17346.869140625,14944.349609375
2024-01-17,581.0,4069.949951171875,17161.7890625,14855.6201171875
2024-01-18,588.0,4206.52001953125,17227.7890625,15055.650390625
2024-01-19,626.0,4375.64990234375,17681.51953125,15310.9697265625
2024-01-22,626.0,4386.60009765625,17815.099609375,15360.2900390625
2024-01-23,628.0,4415.259765625,17874.58984375,15425.9404296875
2024-01-24,627.0,4483.330078125,17875.830078125,15481.919921875
2024-01-25,642.0,4472.259765625,18002.619140625,15510.5
2024-01-26,644.0,4342.10009765625,17995.029296875,15455.3603515625
2024-01-29,648.0,4388.27001953125,18119.630859375,15628.0400390625
2024-01-30,642.0,4319.990234375,18034.630859375,15509.900390625
2024-01-31,628.0,4260.919921875,17889.560546875,15164.009765625
2024-02-01,628.0,4280.47998046875,17968.109375,15361.6396484375
2024-02-02,635.0,4336.72998046875,18059.9296875,15628.9501953125
2024-02-05,646.0,4388.10009765625,18096.0703125,15597.6796875
2024-02-06,,4338.27001953125,,15609.0
2024-02-07,,4408.72998046875,,15756.6396484375
2024-02-08,,4478.009765625,,15793.7099609375
2024-02-09,,4567.2998046875,,15990.66015625
2024-02-12,,4560.0400390625,,15942.5498046875
2024-02-13,,4468.18017578125,,15655.599609375
2024-02-14,,4565.41015625,,15859.150390625
2024-02-15,697.0,4558.10009765625,18644.5703125,15906.169921875
2024-02-16,683.0,4527.68017578125,18607.25,15775.650390625
2024-02-19,678.0,,18635.80078125,
2024-02-20,687.0,4456.8701171875,18753.16015625,15630.7802734375
2024-02-21,681.0,4446.35986328125,18676.310546875,15580.8701171875
2024-02-22,692.0,4667.3701171875,18852.779296875,16041.6201171875
2024-02-23,697.0,4615.02978515625,18889.189453125,15996.8203125
2024-02-26,698.0,4663.47021484375,18948.05078125,15976.25
2024-02-27,698.0,4654.89013671875,18854.41015625,16035.2998046875
